,dt,AverageTemperature,AverageTemperatureUncertainty,Country
1739,1940-12-01,17.32,0.303,India
1740,1941-01-01,16.932,0.282,India
1741,1941-02-01,19.978,0.123,India
1742,1941-03-01,25.153,0.202,India
1743,1941-04-01,28.997,0.184,India
1744,1941-05-01,30.595,0.169,India
1745,1941-06-01,29.106,0.192,India
1746,1941-07-01,27.493,0.322,India
1747,1941-08-01,26.872,0.145,India
1748,1941-09-01,26.452,0.27,India
1749,1941-10-01,25.358,0.189,India
1750,1941-11-01,20.846,0.205,India
1751,1941-12-01,18.309,0.179,India
1752,1942-01-01,16.664,0.273,India
1753,1942-02-01,19.789,0.137,India
1754,1942-03-01,24.535,0.245,India
1755,1942-04-01,28.23,0.183,India
1756,1942-05-01,30.642,0.154,India
1757,1942-06-01,30.039,0.139,India
1758,1942-07-01,26.631,0.281,India
1759,1942-08-01,25.974,0.168,India
1760,1942-09-01,25.663,0.104,India
1761,1942-10-01,24.346,0.186,India
1762,1942-11-01,20.919,0.184,India
1763,1942-12-01,17.094,0.205,India
1764,1943-01-01,17.534,0.288,India
1765,1943-02-01,18.873,0.183,India
1766,1943-03-01,24.052,0.168,India
1767,1943-04-01,26.655,0.189,India
1768,1943-05-01,29.941,0.225,India
1769,1943-06-01,28.726,0.242,India
1770,1943-07-01,26.638,0.205,India
1771,1943-08-01,25.807,0.174,India
1772,1943-09-01,25.931,0.15,India
1773,1943-10-01,24.076,0.204,India
1774,1943-11-01,21.077,0.245,India
1775,1943-12-01,17.552,0.259,India
1776,1944-01-01,16.725,0.204,India
1777,1944-02-01,18.788,0.178,India
1778,1944-03-01,22.7,0.268,India
1779,1944-04-01,26.484,0.155,India
1780,1944-05-01,30.657,0.238,India
1781,1944-06-01,29.248,0.174,India
1782,1944-07-01,26.608,0.238,India
1783,1944-08-01,26.276,0.293,India
1784,1944-09-01,25.992,0.177,India
1785,1944-10-01,23.954,0.205,India
1786,1944-11-01,20.681,0.146,India
1787,1944-12-01,18.062,0.274,India
1788,1945-01-01,15.918,0.271,India
1789,1945-02-01,18.778,0.203,India
1790,1945-03-01,24.102,0.188,India
1791,1945-04-01,26.543,0.272,India
1792,1945-05-01,29.869,0.242,India
1793,1945-06-01,29.652,0.244,India
1794,1945-07-01,26.747,0.242,India
1795,1945-08-01,26.475,0.142,India
1796,1945-09-01,25.905,0.133,India
1797,1945-10-01,23.807,0.196,India
1798,1945-11-01,20.12,0.176,India
1799,1945-12-01,16.143,0.237,India
1800,1946-01-01,16.905,0.255,India
1801,1946-02-01,20.413,0.209,India
1802,1946-03-01,23.832,0.166,India
1803,1946-04-01,27.86,0.17,India
1804,1946-05-01,29.843,0.14,India
1805,1946-06-01,28.625,0.228,India
1806,1946-07-01,26.767,0.202,India
1807,1946-08-01,26.177,0.184,India
1808,1946-09-01,26.045,0.115,India
1809,1946-10-01,24.643,0.141,India
1810,1946-11-01,20.712,0.223,India
1811,1946-12-01,17.791,0.188,India
1812,1947-01-01,16.861,0.317,India
1813,1947-02-01,19.518,0.248,India
1814,1947-03-01,24.311,0.238,India
1815,1947-04-01,28.103,0.15,India
1816,1947-05-01,30.586,0.28,India
1817,1947-06-01,30.128,0.156,India
1818,1947-07-01,27.14,0.131,India
1819,1947-08-01,26.673,0.176,India
1820,1947-09-01,25.805,0.183,India
1821,1947-10-01,23.524,0.114,India
1822,1947-11-01,20.986,0.23,India
1823,1947-12-01,17.719,0.134,India
1824,1948-01-01,17.289,0.269,India
1825,1948-02-01,19.3,0.206,India
1826,1948-03-01,23.455,0.171,India
1827,1948-04-01,28.277,0.147,India
1828,1948-05-01,30.765,0.171,India
1829,1948-06-01,29.748,0.167,India
1830,1948-07-01,26.999,0.203,India
1831,1948-08-01,26.161,0.105,India
1832,1948-09-01,25.975,0.183,India
1833,1948-10-01,24.611,0.176,India
1834,1948-11-01,20.874,0.243,India
1835,1948-12-01,16.826,0.252,India
1836,1949-01-01,17.703,0.291,India
1837,1949-02-01,19.189,0.164,India
1838,1949-03-01,24.296,0.199,India
1839,1949-04-01,27.935,0.238,India
1840,1949-05-01,30.044,0.218,India
1841,1949-06-01,28.988,0.257,India
1842,1949-07-01,26.817,0.147,India
1843,1949-08-01,26.383,0.24,India
1844,1949-09-01,26.235,0.215,India
1845,1949-10-01,24.559,0.276,India
1846,1949-11-01,19.68,0.268,India
1847,1949-12-01,16.738,0.242,India
1848,1950-01-01,17.318,0.12,India
1849,1950-02-01,18.305,0.148,India
1850,1950-03-01,22.933,0.214,India
1851,1950-04-01,27.13,0.246,India
1852,1950-05-01,30.267,0.248,India
1853,1950-06-01,29.23,0.165,India
1854,1950-07-01,26.582,0.16,India
1855,1950-08-01,26.194,0.233,India
1856,1950-09-01,25.711,0.088,India
1857,1950-10-01,23.842,0.155,India
1858,1950-11-01,19.818,0.236,India
1859,1950-12-01,16.582,0.174,India
1860,1951-01-01,16.331,0.325,India
1861,1951-02-01,19.315,0.214,India
1862,1951-03-01,23.841,0.157,India
1863,1951-04-01,26.345,0.205,India
1864,1951-05-01,29.826,0.281,India
1865,1951-06-01,29.103,0.385,India
1866,1951-07-01,27.47,0.25,India
1867,1951-08-01,26.548,0.098,India
1868,1951-09-01,26.762,0.338,India
1869,1951-10-01,26.005,0.189,India
1870,1951-11-01,21.601,0.309,India
1871,1951-12-01,17.501,0.142,India
1872,1952-01-01,17.707,0.196,India
1873,1952-02-01,20.749,0.099,India
1874,1952-03-01,23.39,0.133,India
1875,1952-04-01,28.295,0.207,India
1876,1952-05-01,30.426,0.197,India
1877,1952-06-01,29.302,0.136,India
1878,1952-07-01,27.036,0.258,India
1879,1952-08-01,26.085,0.153,India
1880,1952-09-01,26.315,0.128,India
1881,1952-10-01,24.624,0.102,India
1882,1952-11-01,20.51,0.236,India
1883,1952-12-01,17.947,0.255,India
1884,1953-01-01,16.733,0.237,India
1885,1953-02-01,20.812,0.133,India
1886,1953-03-01,25.969,0.155,India
1887,1953-04-01,28.049,0.216,India
1888,1953-05-01,30.717,0.289,India
1889,1953-06-01,29.89,0.275,India
1890,1953-07-01,26.922,0.231,India
1891,1953-08-01,26.251,0.202,India
1892,1953-09-01,26.126,0.219,India
1893,1953-10-01,24.296,0.244,India
1894,1953-11-01,20.544,0.145,India
1895,1953-12-01,18.43,0.204,India
1896,1954-01-01,16.445,0.283,India
1897,1954-02-01,20.633,0.197,India
1898,1954-03-01,24.173,0.365,India
1899,1954-04-01,28.436,0.097,India
1900,1954-05-01,30.921,0.214,India
1901,1954-06-01,29.378,0.236,India
1902,1954-07-01,26.932,0.157,India
1903,1954-08-01,26.603,0.211,India
1904,1954-09-01,25.871,0.299,India
1905,1954-10-01,23.112,0.216,India
1906,1954-11-01,20.084,0.201,India
1907,1954-12-01,17.418,0.246,India
1908,1955-01-01,17.075,0.275,India
1909,1955-02-01,20.014,0.221,India
1910,1955-03-01,25.048,0.153,India
1911,1955-04-01,26.636,0.142,India
1912,1955-05-01,29.526,0.274,India
1913,1955-06-01,29.15,0.216,India
1914,1955-07-01,26.999,0.254,India
1915,1955-08-01,26.022,0.317,India
1916,1955-09-01,26.008,0.226,India
1917,1955-10-01,23.898,0.208,India
1918,1955-11-01,19.913,0.343,India
1919,1955-12-01,17.137,0.229,India
1920,1956-01-01,17.035,0.2,India
1921,1956-02-01,19.273,0.269,India
1922,1956-03-01,24.437,0.233,India
1923,1956-04-01,28.282,0.289,India
1924,1956-05-01,30.411,0.283,India
1925,1956-06-01,28.155,0.176,India
1926,1956-07-01,25.997,0.152,India
1927,1956-08-01,25.901,0.23,India
1928,1956-09-01,26.001,0.278,India
1929,1956-10-01,23.629,0.211,India
1930,1956-11-01,20.167,0.361,India
1931,1956-12-01,17.508,0.392,India
1932,1957-01-01,17.035,0.339,India
1933,1957-02-01,18.576,0.314,India
1934,1957-03-01,22.721,0.289,India
1935,1957-04-01,27.015,0.341,India
1936,1957-05-01,29.611,0.184,India
1937,1957-06-01,29.478,0.531,India
1938,1957-07-01,27.105,0.374,India
1939,1957-08-01,26.495,0.643,India
1940,1957-09-01,26.213,0.434,India
1941,1957-10-01,24.596,0.33,India
1942,1957-11-01,21.349,0.252,India
1943,1957-12-01,18.123,0.179,India
1944,1958-01-01,18.31,0.241,India
1945,1958-02-01,19.862,0.311,India
1946,1958-03-01,24.626,0.198,India
1947,1958-04-01,28.768,0.274,India
1948,1958-05-01,30.492,0.366,India
1949,1958-06-01,30.656,0.304,India
1950,1958-07-01,27.074,0.361,India
1951,1958-08-01,26.62,0.291,India
1952,1958-09-01,26.056,0.201,India
1953,1958-10-01,24.456,0.18,India
1954,1958-11-01,21.192,0.258,India
1955,1958-12-01,18.004,0.273,India
1956,1959-01-01,17.45,0.332,India
1957,1959-02-01,19.402,0.286,India
1958,1959-03-01,24.544,0.338,India
1959,1959-04-01,28.041,0.228,India
1960,1959-05-01,30.207,0.193,India
1961,1959-06-01,29.347,0.27,India
1962,1959-07-01,26.647,0.33,India
1963,1959-08-01,26.261,0.247,India
1964,1959-09-01,26.001,0.333,India
1965,1959-10-01,24.64,0.323,India
1966,1959-11-01,20.762,0.212,India
1967,1959-12-01,17.9,0.212,India
1968,1960-01-01,16.885,0.252,India
1969,1960-02-01,20.962,0.42,India
1970,1960-03-01,23.285,0.3,India
1971,1960-04-01,27.488,0.189,India
1972,1960-05-01,30.185,0.461,India
1973,1960-06-01,29.581,0.347,India
1974,1960-07-01,27.091,0.185,India
1975,1960-08-01,26.53,0.179,India
1976,1960-09-01,26.517,0.142,India
1977,1960-10-01,24.382,0.129,India
1978,1960-11-01,20.403,0.224,India
1979,1960-12-01,18.137,0.254,India
1980,1961-01-01,17.514,0.259,India
1981,1961-02-01,18.335,0.19,India
1982,1961-03-01,24.665,0.163,India
1983,1961-04-01,27.743,0.238,India
1984,1961-05-01,29.963,0.273,India
1985,1961-06-01,28.716,0.402,India
1986,1961-07-01,26.677,0.153,India
1987,1961-08-01,26.462,0.167,India
1988,1961-09-01,25.882,0.144,India
1989,1961-10-01,23.896,0.247,India
1990,1961-11-01,19.907,0.207,India
1991,1961-12-01,16.023,0.217,India
1992,1962-01-01,15.838,0.206,India
1993,1962-02-01,19.62,0.234,India
1994,1962-03-01,23.545,0.21,India
1995,1962-04-01,27.634,0.285,India
1996,1962-05-01,29.728,0.145,India
1997,1962-06-01,29.275,0.589,India
1998,1962-07-01,27.299,0.325,India
1999,1962-08-01,26.316,0.245,India
2000,1962-09-01,25.816,0.264,India
2001,1962-10-01,23.673,0.449,India
2002,1962-11-01,20.493,0.249,India
2003,1962-12-01,17.38,0.247,India
2004,1963-01-01,16.554,0.25,India
2005,1963-02-01,20.342,0.24,India
2006,1963-03-01,23.609,0.346,India
2007,1963-04-01,26.827,0.402,India
2008,1963-05-01,29.309,0.422,India
2009,1963-06-01,28.943,0.321,India
2010,1963-07-01,27.324,0.343,India
2011,1963-08-01,26.209,0.107,India
2012,1963-09-01,26.146,0.281,India
2013,1963-10-01,24.631,0.16,India
2014,1963-11-01,21.437,0.254,India
2015,1963-12-01,17.818,0.161,India
2016,1964-01-01,16.468,0.266,India
2017,1964-02-01,19.665,0.281,India
2018,1964-03-01,25.022,0.127,India
2019,1964-04-01,28.314,0.208,India
2020,1964-05-01,29.573,0.301,India
2021,1964-06-01,29.097,0.429,India
2022,1964-07-01,26.491,0.27,India
2023,1964-08-01,26.171,0.283,India
2024,1964-09-01,25.911,0.196,India
2025,1964-10-01,24.587,0.389,India
2026,1964-11-01,20.232,0.211,India
2027,1964-12-01,17.315,0.201,India
2028,1965-01-01,17.907,0.154,India
2029,1965-02-01,19.505,0.305,India
2030,1965-03-01,23.14,0.429,India
2031,1965-04-01,26.503,0.176,India
2032,1965-05-01,29.366,0.488,India
2033,1965-06-01,29.666,0.676,India
2034,1965-07-01,26.834,0.27,India
2035,1965-08-01,26.313,0.144,India
2036,1965-09-01,26.041,0.131,India
2037,1965-10-01,24.829,0.253,India
2038,1965-11-01,21.368,0.225,India
2039,1965-12-01,17.619,0.257,India
2040,1966-01-01,17.543,0.259,India
2041,1966-02-01,21.076,0.212,India
2042,1966-03-01,24.008,0.332,India
2043,1966-04-01,27.748,0.127,India
2044,1966-05-01,30.114,0.341,India
2045,1966-06-01,29.15,0.227,India
2046,1966-07-01,27.668,0.238,India
2047,1966-08-01,26.49,0.264,India
2048,1966-09-01,26.096,0.378,India
2049,1966-10-01,24.621,0.242,India
2050,1966-11-01,21.457,0.247,India
2051,1966-12-01,17.292,0.272,India
2052,1967-01-01,16.668,0.211,India
2053,1967-02-01,20.594,0.281,India
2054,1967-03-01,22.982,0.296,India
2055,1967-04-01,26.908,0.169,India
2056,1967-05-01,29.777,0.407,India
2057,1967-06-01,29.481,0.419,India
2058,1967-07-01,26.967,0.387,India
2059,1967-08-01,26.023,0.333,India
2060,1967-09-01,25.871,0.282,India
2061,1967-10-01,23.98,0.126,India
2062,1967-11-01,20.492,0.158,India
2063,1967-12-01,18.162,0.156,India
2064,1968-01-01,16.341,0.188,India
2065,1968-02-01,18.659,0.225,India
2066,1968-03-01,23.477,0.317,India
2067,1968-04-01,26.827,0.238,India
2068,1968-05-01,29.368,0.234,India
2069,1968-06-01,29.21,0.313,India
2070,1968-07-01,26.948,0.215,India
2071,1968-08-01,26.311,0.272,India
2072,1968-09-01,26.786,0.198,India
2073,1968-10-01,23.995,0.285,India
2074,1968-11-01,20.794,0.201,India
2075,1968-12-01,17.661,0.389,India
2076,1969-01-01,17.129,0.286,India
2077,1969-02-01,20.236,0.247,India
2078,1969-03-01,25.479,0.208,India
2079,1969-04-01,28.122,0.366,India
2080,1969-05-01,29.537,0.31,India
2081,1969-06-01,29.708,0.43,India
2082,1969-07-01,27.086,0.266,India
2083,1969-08-01,26.273,0.312,India
2084,1969-09-01,25.968,0.193,India
2085,1969-10-01,24.706,0.211,India
2086,1969-11-01,21.852,0.18,India
2087,1969-12-01,17.918,0.239,India
2088,1970-01-01,17.4,0.218,India
2089,1970-02-01,19.679,0.276,India
2090,1970-03-01,23.807,0.293,India
2091,1970-04-01,28.212,0.208,India
2092,1970-05-01,30.42,0.235,India
2093,1970-06-01,28.263,0.229,India
2094,1970-07-01,27.102,0.19,India
2095,1970-08-01,26.246,0.219,India
2096,1970-09-01,25.975,0.205,India
2097,1970-10-01,24.582,0.302,India
2098,1970-11-01,20.204,0.232,India
2099,1970-12-01,16.999,0.228,India
2100,1971-01-01,16.778,0.252,India
2101,1971-02-01,19.526,0.261,India
2102,1971-03-01,23.577,0.176,India
2103,1971-04-01,27.642,0.233,India
2104,1971-05-01,28.794,0.255,India
2105,1971-06-01,27.651,0.238,India
2106,1971-07-01,26.391,0.182,India
2107,1971-08-01,25.901,0.188,India
2108,1971-09-01,26.05,0.179,India
2109,1971-10-01,24.049,0.333,India
2110,1971-11-01,20.125,0.174,India
2111,1971-12-01,17.124,0.122,India
2112,1972-01-01,17.132,0.381,India
2113,1972-02-01,18.156,0.237,India
2114,1972-03-01,24.385,0.325,India
2115,1972-04-01,27.132,0.262,India
2116,1972-05-01,30.29,0.242,India
2117,1972-06-01,30.242,0.367,India
2118,1972-07-01,27.55,0.26,India
2119,1972-08-01,26.532,0.285,India
2120,1972-09-01,26.145,0.182,India
2121,1972-10-01,24.411,0.325,India
2122,1972-11-01,20.974,0.229,India
2123,1972-12-01,18.317,0.226,India
2124,1973-01-01,17.62,0.262,India
2125,1973-02-01,20.866,0.18,India
2126,1973-03-01,24.178,0.309,India
2127,1973-04-01,29.166,0.178,India
2128,1973-05-01,30.69,0.424,India
2129,1973-06-01,29.277,0.177,India
2130,1973-07-01,26.986,0.3,India
2131,1973-08-01,26.093,0.226,India
2132,1973-09-01,26.002,0.134,India
2133,1973-10-01,24.209,0.25,India
2134,1973-11-01,20.516,0.18,India
2135,1973-12-01,17.036,0.129,India
2136,1974-01-01,16.738,0.179,India
2137,1974-02-01,19.245,0.207,India
2138,1974-03-01,24.923,0.201,India
2139,1974-04-01,28.495,0.134,India
2140,1974-05-01,29.697,0.241,India
2141,1974-06-01,29.101,0.211,India
2142,1974-07-01,26.961,0.131,India
2143,1974-08-01,26.479,0.271,India
2144,1974-09-01,26.544,0.151,India
2145,1974-10-01,24.768,0.089,India
2146,1974-11-01,20.471,0.313,India
2147,1974-12-01,16.687,0.231,India
2148,1975-01-01,16.257,0.216,India
2149,1975-02-01,19.372,0.197,India
2150,1975-03-01,23.703,0.138,India
2151,1975-04-01,28.273,0.186,India
2152,1975-05-01,30.431,0.233,India
2153,1975-06-01,28.879,0.273,India
2154,1975-07-01,26.416,0.326,India
2155,1975-08-01,26.195,0.415,India
2156,1975-09-01,25.576,0.324,India
2157,1975-10-01,24.676,0.298,India
2158,1975-11-01,19.646,0.151,India
2159,1975-12-01,16.922,0.21,India
2160,1976-01-01,16.913,0.165,India
2161,1976-02-01,19.725,0.171,India
2162,1976-03-01,24.028,0.127,India
2163,1976-04-01,27.148,0.202,India
2164,1976-05-01,29.785,0.391,India
2165,1976-06-01,28.542,0.3,India
2166,1976-07-01,26.897,0.295,India
2167,1976-08-01,25.791,0.153,India
2168,1976-09-01,25.841,0.306,India
2169,1976-10-01,25.04,0.312,India
2170,1976-11-01,22.473,0.192,India
2171,1976-12-01,18.212,0.144,India
2172,1977-01-01,17.035,0.156,India
2173,1977-02-01,20.25,0.24,India
2174,1977-03-01,25.44,0.219,India
2175,1977-04-01,27.388,0.232,India
2176,1977-05-01,28.856,0.232,India
2177,1977-06-01,28.768,0.239,India
2178,1977-07-01,26.619,0.209,India
2179,1977-08-01,26.285,0.292,India
2180,1977-09-01,25.927,0.15,India
2181,1977-10-01,24.633,0.186,India
2182,1977-11-01,22.308,0.067,India
2183,1977-12-01,17.958,0.268,India
2184,1978-01-01,16.64,0.232,India
2185,1978-02-01,19.077,0.235,India
2186,1978-03-01,22.812,0.198,India
2187,1978-04-01,27.576,0.288,India
2188,1978-05-01,30.939,0.249,India
2189,1978-06-01,28.742,0.205,India
2190,1978-07-01,26.344,0.291,India
2191,1978-08-01,26.008,0.196,India
2192,1978-09-01,25.846,0.163,India
2193,1978-10-01,24.696,0.198,India
2194,1978-11-01,21.694,0.219,India
2195,1978-12-01,17.714,0.264,India
2196,1979-01-01,17.828,0.159,India
2197,1979-02-01,19.082,0.227,India
2198,1979-03-01,23.214,0.249,India
2199,1979-04-01,28.217,0.254,India
2200,1979-05-01,29.686,0.312,India
2201,1979-06-01,30.009,0.136,India
2202,1979-07-01,27.479,0.144,India
2203,1979-08-01,26.629,0.212,India
2204,1979-09-01,26.475,0.146,India
2205,1979-10-01,25.165,0.17,India
2206,1979-11-01,22.516,0.198,India
2207,1979-12-01,18.343,0.172,India
2208,1980-01-01,17.593,0.143,India
2209,1980-02-01,20.495,0.191,India
2210,1980-03-01,24.071,0.124,India
2211,1980-04-01,28.968,0.244,India
2212,1980-05-01,31.054,0.293,India
2213,1980-06-01,28.638,0.286,India
2214,1980-07-01,26.887,0.291,India
2215,1980-08-01,26.356,0.21,India
2216,1980-09-01,26.529,0.163,India
2217,1980-10-01,25.015,0.156,India
2218,1980-11-01,21.517,0.289,India
2219,1980-12-01,17.994,0.192,India
2220,1981-01-01,17.067,0.234,India
2221,1981-02-01,20.37,0.217,India
2222,1981-03-01,23.57,0.146,India
2223,1981-04-01,27.894,0.301,India
2224,1981-05-01,29.998,0.263,India
2225,1981-06-01,29.792,0.321,India
2226,1981-07-01,26.82,0.186,India
2227,1981-08-01,26.405,0.203,India
2228,1981-09-01,26.406,0.177,India
2229,1981-10-01,24.626,0.22,India
2230,1981-11-01,20.366,0.145,India
2231,1981-12-01,17.427,0.208,India
2232,1982-01-01,17.866,0.141,India
2233,1982-02-01,19.358,0.14,India
2234,1982-03-01,22.928,0.22,India
2235,1982-04-01,27.155,0.183,India
2236,1982-05-01,29.069,0.249,India
2237,1982-06-01,29.306,0.276,India
2238,1982-07-01,27.911,0.169,India
2239,1982-08-01,26.397,0.148,India
2240,1982-09-01,26.444,0.178,India
2241,1982-10-01,24.975,0.088,India
2242,1982-11-01,21.074,0.255,India
2243,1982-12-01,18.136,0.232,India
2244,1983-01-01,16.758,0.089,India
2245,1983-02-01,19.091,0.264,India
2246,1983-03-01,23.603,0.107,India
2247,1983-04-01,26.473,0.188,India
2248,1983-05-01,29.619,0.194,India
2249,1983-06-01,29.762,0.262,India
2250,1983-07-01,27.492,0.07,India
2251,1983-08-01,26.625,0.149,India
2252,1983-09-01,26.238,0.172,India
2253,1983-10-01,24.043,0.167,India
2254,1983-11-01,20.182,0.211,India
2255,1983-12-01,17.37,0.263,India
2256,1984-01-01,16.993,0.21,India
2257,1984-02-01,18.677,0.084,India
2258,1984-03-01,24.742,0.123,India
2259,1984-04-01,28.079,0.165,India
2260,1984-05-01,31.199,0.246,India
2261,1984-06-01,29.026,0.212,India
2262,1984-07-01,26.721,0.276,India
2263,1984-08-01,26.187,0.257,India
2264,1984-09-01,25.646,0.141,India
2265,1984-10-01,24.396,0.197,India
2266,1984-11-01,20.395,0.189,India
2267,1984-12-01,18.16,0.171,India
2268,1985-01-01,17.592,0.123,India
2269,1985-02-01,19.996,0.162,India
2270,1985-03-01,25.561,0.234,India
2271,1985-04-01,28.279,0.276,India
2272,1985-05-01,30.506,0.193,India
2273,1985-06-01,29.167,0.347,India
2274,1985-07-01,26.684,0.179,India
2275,1985-08-01,26.381,0.213,India
2276,1985-09-01,26.354,0.251,India
2277,1985-10-01,23.814,0.179,India
2278,1985-11-01,20.913,0.172,India
2279,1985-12-01,18.589,0.243,India
2280,1986-01-01,17.185,0.303,India
2281,1986-02-01,19.553,0.222,India
2282,1986-03-01,24.088,0.262,India
2283,1986-04-01,27.84,0.221,India
2284,1986-05-01,29.572,0.171,India
2285,1986-06-01,29.323,0.165,India
2286,1986-07-01,26.944,0.194,India
2287,1986-08-01,26.365,0.323,India
2288,1986-09-01,26.606,0.199,India
2289,1986-10-01,24.651,0.154,India
2290,1986-11-01,21.683,0.212,India
2291,1986-12-01,17.724,0.219,India
2292,1987-01-01,17.611,0.269,India
2293,1987-02-01,20.292,0.182,India
2294,1987-03-01,24.256,0.168,India
2295,1987-04-01,28.111,0.229,India
2296,1987-05-01,29.22,0.246,India
2297,1987-06-01,30.216,0.215,India
2298,1987-07-01,28.174,0.194,India
2299,1987-08-01,27.42,0.182,India
2300,1987-09-01,27.327,0.17,India
2301,1987-10-01,25.159,0.174,India
2302,1987-11-01,21.655,0.155,India
2303,1987-12-01,18.028,0.22,India
2304,1988-01-01,18.235,0.134,India
2305,1988-02-01,20.945,0.16,India
2306,1988-03-01,24.296,0.149,India
2307,1988-04-01,28.377,0.17,India
2308,1988-05-01,31.21,0.222,India
2309,1988-06-01,29.462,0.244,India
2310,1988-07-01,26.92,0.14,India
2311,1988-08-01,26.585,0.148,India
2312,1988-09-01,26.809,0.159,India
2313,1988-10-01,24.609,0.195,India
2314,1988-11-01,20.973,0.128,India
2315,1988-12-01,18.312,0.155,India
2316,1989-01-01,16.735,0.195,India
2317,1989-02-01,19.495,0.208,India
2318,1989-03-01,23.577,0.306,India
2319,1989-04-01,27.495,0.298,India
2320,1989-05-01,30.493,0.129,India
2321,1989-06-01,28.56,0.188,India
2322,1989-07-01,27.036,0.128,India
2323,1989-08-01,26.333,0.314,India
2324,1989-09-01,26.362,0.25,India
2325,1989-10-01,24.874,0.242,India
2326,1989-11-01,21.406,0.178,India
2327,1989-12-01,17.582,0.183,India
2328,1990-01-01,18.557,0.278,India
2329,1990-02-01,20.005,0.19,India
2330,1990-03-01,22.989,0.301,India
2331,1990-04-01,27.58,0.201,India
2332,1990-05-01,29.199,0.283,India
2333,1990-06-01,28.837,0.202,India
2334,1990-07-01,26.53,0.224,India
2335,1990-08-01,26.508,0.234,India
2336,1990-09-01,26.164,0.161,India
2337,1990-10-01,24.005,0.288,India
2338,1990-11-01,21.602,0.34,India
2339,1990-12-01,18.162,0.134,India
2340,1991-01-01,16.987,0.142,India
2341,1991-02-01,20.454,0.132,India
2342,1991-03-01,24.437,0.187,India
2343,1991-04-01,27.351,0.092,India
2344,1991-05-01,30.459,0.209,India
2345,1991-06-01,29.034,0.201,India
2346,1991-07-01,27.572,0.274,India
2347,1991-08-01,26.29,0.228,India
2348,1991-09-01,26.508,0.187,India
2349,1991-10-01,24.381,0.192,India
2350,1991-11-01,20.628,0.187,India
2351,1991-12-01,17.64,0.198,India
2352,1992-01-01,17.102,0.202,India
2353,1992-02-01,18.975,0.27,India
2354,1992-03-01,24.228,0.223,India
2355,1992-04-01,27.746,0.218,India
2356,1992-05-01,29.694,0.145,India
2357,1992-06-01,29.914,0.283,India
2358,1992-07-01,27.43,0.178,India
2359,1992-08-01,26.256,0.124,India
2360,1992-09-01,26.041,0.221,India
2361,1992-10-01,24.423,0.131,India
2362,1992-11-01,21.091,0.226,India
2363,1992-12-01,17.775,0.372,India
2364,1993-01-01,17.481,0.214,India
2365,1993-02-01,20.357,0.211,India
2366,1993-03-01,23.076,0.24,India
2367,1993-04-01,27.607,0.177,India
2368,1993-05-01,30.554,0.38,India
2369,1993-06-01,29.499,0.155,India
2370,1993-07-01,27.289,0.275,India
2371,1993-08-01,26.911,0.122,India
2372,1993-09-01,26,0.153,India
2373,1993-10-01,24.869,0.157,India
2374,1993-11-01,21.416,0.226,India
2375,1993-12-01,17.845,0.273,India
2376,1994-01-01,18.15,0.284,India
2377,1994-02-01,19.451,0.268,India
2378,1994-03-01,25.081,0.192,India
2379,1994-04-01,27.096,0.249,India
2380,1994-05-01,30.833,0.149,India
2381,1994-06-01,29.13,0.212,India
2382,1994-07-01,26.566,0.295,India
2383,1994-08-01,26.25,0.227,India
2384,1994-09-01,26.066,0.282,India
2385,1994-10-01,24.338,0.163,India
2386,1994-11-01,21.033,0.279,India
2387,1994-12-01,17.563,0.183,India
2388,1995-01-01,16.241,0.182,India
2389,1995-02-01,19.761,0.286,India
2390,1995-03-01,23.476,0.179,India
2391,1995-04-01,27.539,0.206,India
2392,1995-05-01,30.265,0.166,India
2393,1995-06-01,30.65,0.185,India
2394,1995-07-01,27.307,0.162,India
2395,1995-08-01,26.712,0.189,India
2396,1995-09-01,26.558,0.17,India
2397,1995-10-01,25.071,0.164,India
2398,1995-11-01,21.247,0.215,India
2399,1995-12-01,18.33,0.159,India
2400,1996-01-01,17.819,0.238,India
2401,1996-02-01,20.237,0.166,India
2402,1996-03-01,25.032,0.149,India
2403,1996-04-01,27.803,0.152,India
2404,1996-05-01,30.506,0.133,India
2405,1996-06-01,29.185,0.186,India
2406,1996-07-01,27.31,0.178,India
2407,1996-08-01,26.11,0.206,India
2408,1996-09-01,26.435,0.142,India
2409,1996-10-01,24.263,0.211,India
2410,1996-11-01,21.013,0.246,India
2411,1996-12-01,17.53,0.214,India
2412,1997-01-01,16.666,0.173,India
2413,1997-02-01,19.247,0.159,India
2414,1997-03-01,24.18,0.358,India
2415,1997-04-01,26.243,0.248,India
2416,1997-05-01,29.47,0.185,India
2417,1997-06-01,29.067,0.174,India
2418,1997-07-01,27.504,0.221,India
2419,1997-08-01,26.696,0.258,India
2420,1997-09-01,26.428,0.226,India
2421,1997-10-01,23.828,0.23,India
2422,1997-11-01,21.638,0.165,India
2423,1997-12-01,17.601,0.28,India
2424,1998-01-01,17.511,0.245,India
2425,1998-02-01,20.157,0.14,India
2426,1998-03-01,23.313,0.197,India
2427,1998-04-01,28.3,0.21,India
2428,1998-05-01,31.176,0.174,India
2429,1998-06-01,30.215,0.179,India
2430,1998-07-01,27.538,0.067,India
2431,1998-08-01,27.17,0.127,India
2432,1998-09-01,26.66,0.156,India
2433,1998-10-01,25.228,0.11,India
2434,1998-11-01,21.843,0.169,India
2435,1998-12-01,17.954,0.202,India
2436,1999-01-01,16.96,0.158,India
